"kön","utbildningsområde MYH","Antal behöriga sökande 2020","Antal behöriga sökande 2021","Antal behöriga sökande 2022","Antal behöriga sökande 2023","Antal behöriga sökande 2024","Antal antagna vid start 2020","Antal antagna vid start 2021","Antal antagna vid start 2022","Antal antagna vid start 2023","Antal antagna vid start 2024"
"totalt","Data/It",1127,1837,1035,2484,3628,687,1049,766,1931,2750
"totalt","Ekonomi, administration och försäljning",2590,2756,3904,5893,6842,1400,1638,2480,3883,4592
"totalt","Friskvård och kroppsvård",..,..,..,..,..,..,..,..,..,..
"totalt","Hotell, restaurang och turism",529,279,335,587,682,323,192,232,406,495
"totalt","Hälso- och sjukvård samt socialt arbete",899,1449,1946,3149,3504,644,927,1222,1910,2142
"totalt","Journalistik och information",..,143,150,585,835,..,59,105,357,507
"totalt","Juridik",..,..,..,328,809,..,..,..,143,402
"totalt","Kultur, media och design",135,316,378,375,397,93,175,260,283,265
"totalt","Lantbruk, djurvård, trädgård, skog och fiske",48,92,274,513,533,42,83,221,409,366
"totalt","Pedagogik och undervisning",159,49,296,1026,944,136,47,127,473,533
"totalt","Samhällsbyggnad och byggteknik",796,880,1403,2436,2797,588,697,1125,1998,2147
"totalt","Säkerhetstjänster",115,149,191,344,641,74,90,147,264,476
"totalt","Teknik och tillverkning",966,817,937,1515,2404,763,645,831,1220,1891
"totalt","Transporttjänster",38,107,122,26,71,25,73,93,21,57
