,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025
0,ABF Göteborg Vuxenutbildning AB,Pedagogik och undervisning,30,60,60,90,0,0
1,AGSTU AB,Data/IT,0,0,15,30,40,10
2,AGSTU AB,Teknik och tillverkning,40,20,20,30,0,0
3,ALEA Kompetenshöjning AB,"Ekonomi, administration och försäljning",0,0,0,0,20,20
4,ALEA Kompetenshöjning AB,Samhällsbyggnad och byggteknik,0,0,15,30,75,45
5,ALEA Kompetenshöjning AB,Teknik och tillverkning,0,0,0,20,80,40
6,AVT AB,Teknik och tillverkning,0,0,0,0,30,30
7,Amsac AB,Teknik och tillverkning,0,0,0,0,25,25
8,Amsac AB,Transporttjänster,0,0,0,0,0,0
9,"Arboga kommun, Vuxenutbildningen",Teknik och tillverkning,30,30,0,0,0,0
10,Arena Utbildning,Hälso- och sjukvård samt socialt arbete,0,0,100,20,0,0
11,Arvika Kommun,Hälso- och sjukvård samt socialt arbete,0,30,30,0,0,0
12,Blue Peak AB,"Ekonomi, administration och försäljning",0,0,0,80,260,150
13,Borås Stad - Borås Yrkeshögskola,Data/IT,20,20,0,0,0,0
14,Borås Stad - Borås Yrkeshögskola,"Ekonomi, administration och försäljning",60,60,90,0,0,0
15,Borås Stad - Borås Yrkeshögskola,Teknik och tillverkning,20,20,0,0,0,0
16,Borås Stad - Yrkeshögskola i Borås,"Ekonomi, administration och försäljning",0,0,60,120,0,0
17,Borås Stad - Yrkeshögskolan i Borås,Data/IT,0,0,0,0,20,0
18,Borås Stad - Yrkeshögskolan i Borås,"Ekonomi, administration och försäljning",0,0,0,120,0,0
19,Borås Stad - Yrkeshögskolan i Borås,Hälso- och sjukvård samt socialt arbete,0,0,0,55,0,0
20,Borås Stad - Yrkeshögskolan i Borås,Pedagogik och undervisning,0,0,0,27,0,0
21,Borås Stad - Yrkeshögskolan i Borås,Teknik och tillverkning,0,0,0,50,100,0
22,Båstad kommun Akademi Båstad,"Ekonomi, administration och försäljning",0,30,60,30,0,0
23,Båstad kommun Akademi Båstad,"Hotell, restaurang och turism",60,0,0,55,60,0
24,Båstad kommun Akademi Båstad,Hälso- och sjukvård samt socialt arbete,0,0,0,60,0,0
25,Båstad kommun Akademi Båstad,"Lantbruk, djurvård, trädgård, skog och fiske",25,55,100,120,60,0
26,Båstads kommun Akademi Båstad,"Ekonomi, administration och försäljning",0,0,0,0,0,0
