Anordnare standard,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025,Antal kommuner,Anordnare ren
ABF Göteborg Vuxenutbildning AB,ABF Göteborg Vuxenutbildning AB,Pedagogik och undervisning,30,60,60,90,0,0,8,abf vuxenutbildning
AGSTU AB,AGSTU AB,Data/IT,0,0,15,30,40,10,3,agstu
AGSTU AB,AGSTU AB,Teknik och tillverkning,40,20,20,30,0,0,9,agstu
ALEA Kompetenshöjning AB,ALEA Kompetenshöjning AB,"Ekonomi, administration och försäljning",0,0,0,0,20,20,1,alea kompetenshöjning
ALEA Kompetenshöjning AB,ALEA Kompetenshöjning AB,Samhällsbyggnad och byggteknik,0,0,15,30,75,45,6,alea kompetenshöjning
ALEA Kompetenshöjning AB,ALEA Kompetenshöjning AB,Teknik och tillverkning,0,0,0,20,80,40,3,alea kompetenshöjning
AVT AB,AVT AB,Teknik och tillverkning,0,0,0,0,30,30,1,avt
Amsac AB,Amsac AB,Teknik och tillverkning,0,0,0,0,25,25,5,amsac
Amsac AB,Amsac AB,Transporttjänster,0,0,0,0,0,0,1,amsac
"Arboga kommun, Vuxenutbildningen","Arboga kommun, Vuxenutbildningen",Teknik och tillverkning,30,30,0,0,0,0,1,arboga
Arena Utbildning,Arena Utbildning,Hälso- och sjukvård samt socialt arbete,0,0,100,20,0,0,2,arena utbildning
Arvika Kommun,Arvika Kommun,Hälso- och sjukvård samt socialt arbete,0,30,30,0,0,0,1,arvika
Blue Peak AB,Blue Peak AB,"Ekonomi, administration och försäljning",0,0,0,80,260,150,6,blue peak
Båros Yrkeshögskola,Borås Stad - Borås Yrkeshögskola,Data/IT,20,20,0,0,0,0,1,borås borås yrkeshögskola
Båros Yrkeshögskola,Borås Stad - Borås Yrkeshögskola,"Ekonomi, administration och försäljning",60,60,90,0,0,0,4,borås borås yrkeshögskola
Båros Yrkeshögskola,Borås Stad - Borås Yrkeshögskola,Teknik och tillverkning,20,20,0,0,0,0,1,borås borås yrkeshögskola
Båros Yrkeshögskola,Borås Stad - Yrkeshögskola i Borås,"Ekonomi, administration och försäljning",0,0,60,120,0,0,2,borås yrkeshögskola i borås
Båros Yrkeshögskola,Borås Stad - Yrkeshögskolan i Borås,Data/IT,0,0,0,0,20,0,1,borås yrkeshögskolan i borås
Båros Yrkeshögskola,Borås Stad - Yrkeshögskolan i Borås,"Ekonomi, administration och försäljning",0,0,0,120,0,0,4,borås yrkeshögskolan i borås
Båros Yrkeshögskola,Borås Stad - Yrkeshögskolan i Borås,Hälso- och sjukvård samt socialt arbete,0,0,0,55,0,0,2,borås yrkeshögskolan i borås
Båros Yrkeshögskola,Borås Stad - Yrkeshögskolan i Borås,Pedagogik och undervisning,0,0,0,27,0,0,1,borås yrkeshögskolan i borås
Båros Yrkeshögskola,Borås Stad - Yrkeshögskolan i Borås,Teknik och tillverkning,0,0,0,50,100,0,5,borås yrkeshögskolan i borås
Båstad Akademi,Båstad kommun Akademi Båstad,"Ekonomi, administration och försäljning",0,30,60,30,0,0,2,båstad akademi båstad
Båstad Akademi,Båstad kommun Akademi Båstad,"Hotell, restaurang och turism",60,0,0,55,60,0,3,båstad akademi båstad
Båstad Akademi,Båstad kommun Akademi Båstad,Hälso- och sjukvård samt socialt arbete,0,0,0,60,0,0,2,båstad akademi båstad
Båstad Akademi,Båstad kommun Akademi Båstad,"Lantbruk, djurvård, trädgård, skog och fiske",25,55,100,120,60,0,6,båstad akademi båstad
Båstads kommun Akademi Båstad,Båstads kommun Akademi Båstad,"Ekonomi, administration och försäljning",0,0,0,0,0,0,1,båstads akademi båstad
Båstads kommun Akademi Båstad,Båstads kommun Akademi Båstad,"Hotell, restaurang och turism",0,0,0,0,0,0,1,båstads akademi båstad
Båstads kommun Akademi Båstad,Båstads kommun Akademi Båstad,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,1,båstads akademi båstad
Campus AB,Campus Ljungby AB,Teknik och tillverkning,0,15,30,20,20,10,3,campus
Campus AB,Campus Mölndal,Data/IT,150,230,60,0,0,0,7,campus mölndal
Campus AB,Campus Mölndal,Hälso- och sjukvård samt socialt arbete,0,0,20,50,50,0,2,campus mölndal
Campus AB,Campus Mölndal,Pedagogik och undervisning,25,0,0,0,0,0,1,campus mölndal
Campus AB,Campus Nyköping,"Ekonomi, administration och försäljning",20,20,25,35,0,0,7,campus nyköping
Campus AB,Campus Nyköping,"Hotell, restaurang och turism",30,30,0,0,0,0,2,campus nyköping
Campus AB,Campus Nyköping,Hälso- och sjukvård samt socialt arbete,30,80,70,0,100,0,5,campus nyköping
Campus AB,Campus Nyköping,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,24,0,1,campus nyköping
Campus AB,Campus Nyköping,Samhällsbyggnad och byggteknik,0,0,75,105,155,0,7,campus nyköping
Campus AB,Campus Nynäshamn,Hälso- och sjukvård samt socialt arbete,0,0,0,40,50,50,2,campus
Campus AB,Campus Nynäshamn,Pedagogik och undervisning,0,0,0,40,90,50,2,campus
Campus AB,Campus Nynäshamn,Teknik och tillverkning,0,0,40,80,0,0,2,campus
Campus AB,Campus Varberg/Varbergs kommun,Data/IT,40,0,0,0,0,0,2,campus varbergs
Changemaker Educations AB,Changemaker Educations AB,Data/IT,120,120,0,0,0,0,12,changemaker educations
Changemaker Educations AB,Changemaker Educations AB,"Ekonomi, administration och försäljning",30,0,0,0,0,0,3,changemaker educations
Changemaker Educations AB,Changemaker Educations AB,"Hotell, restaurang och turism",0,0,0,20,0,0,1,changemaker educations
Changemaker Educations AB,Changemaker Educations AB,"Kultur, media och design",30,60,0,0,0,0,2,changemaker educations
Chas Academy AB,Chas Academy AB,Data/IT,30,0,30,65,0,0,5,chas
Creando Training AB – Creando School,Creando Training AB – Creando School,Teknik och tillverkning,90,90,0,0,0,0,3,creando training creando school
EC Utbildning AB,EC Utbildning AB,Data/IT,85,25,0,0,0,0,3,ec utbildning
EC Utbildning AB,EC Utbildning AB,Teknik och tillverkning,64,0,0,0,0,0,2,ec utbildning
EC Utbildning AB,EC Utbildning AB Göteborg,Data/IT,0,0,0,0,35,35,3,ec utbildning
EC Utbildning AB,EC Utbildning AB Malmö,Data/IT,0,0,0,30,35,35,2,ec utbildning
EC Utbildning AB,EC Utbildning AB Stockholm,Data/IT,0,0,35,70,0,0,4,ec utbildning
EC Utbildning AB,EC Utbildning AB Örebro,Data/IT,0,0,0,35,0,0,1,ec utbildning
East Sweden Business School AB,East Sweden Business School AB,"Ekonomi, administration och försäljning",0,0,0,0,40,40,1,east sweden business school
East Sweden Business School AB,East Sweden Business School AB,Samhällsbyggnad och byggteknik,0,0,0,0,40,40,3,east sweden business school
EdUP Group AB,EdUP Group AB,"Ekonomi, administration och försäljning",0,0,0,35,40,40,2,edup group
EdUP Group AB,EdUP Group AB,Samhällsbyggnad och byggteknik,0,0,0,0,0,0,1,edup group
Edugrade AB,Edugrade AB,Data/IT,20,0,0,0,50,50,3,edugrade
Elevera Education Group,Elevera Education Group,"Ekonomi, administration och försäljning",0,0,0,0,40,40,1,elevera education group
"Enköpings kommun, Yrkeshögskolan i Enköping","Enköpings kommun, Yrkeshögskolan i Enköping","Lantbruk, djurvård, trädgård, skog och fiske",0,0,20,70,0,0,6,enköpings
Fastighetsakademin Sverige AB,Fastighetsakademin Sverige AB,Samhällsbyggnad och byggteknik,0,0,0,0,80,80,2,fastighetsakademin sverige
Folkuniversitetet,Folkuniversitetet - Kursverksamheten vid Lunds Universitet,Hälso- och sjukvård samt socialt arbete,0,0,0,40,40,40,2,folkuniversitetet vid lunds
Folkuniversitetet,Folkuniversitetet - Kursverksamheten vid Lunds Universitet,Teknik och tillverkning,20,0,0,40,40,40,5,folkuniversitetet vid lunds
Folkuniversitetet,Folkuniversitetet - Kursverksamheten vid Stockholms universitet,"Ekonomi, administration och försäljning",0,0,20,20,0,0,1,folkuniversitetet vid stockholms
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Data/IT,25,0,0,44,0,0,5,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,"Ekonomi, administration och försäljning",0,60,110,85,0,0,4,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Hälso- och sjukvård samt socialt arbete,0,30,60,120,120,80,6,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Samhällsbyggnad och byggteknik,0,15,30,20,0,0,5,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Säkerhetstjänster,0,0,30,60,0,0,2,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet - Stiftelsen Kursverksamheten vid Uppsala universitetet,Teknik och tillverkning,0,0,0,0,50,50,1,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet Kursverksamheten vid Göteborgs universitet,Data/IT,0,50,50,0,35,35,3,folkuniversitetet vid göteborgs
Folkuniversitetet,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Samhällsbyggnad och byggteknik,0,0,0,20,20,20,3,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet – Kursverksamheten vid Umeå Universitet,Transporttjänster,40,80,0,0,0,0,1,folkuniversitetet vid
Folkuniversitetet,Folkuniversitetet- stiftelsen kursverksamheten vid Uppsala universitet,Samhällsbyggnad och byggteknik,20,20,0,0,0,0,1,folkuniversitetet vid
Fordonsakademin Sverige AB,Fordonsakademin Sverige AB,"Ekonomi, administration och försäljning",0,0,0,15,45,15,2,fordonsakademin sverige
Funka Academy AB,Funka Academy AB,Journalistik och information,0,0,0,0,0,0,2,funka
Företagsekonomiska Institutet 1888 AB,Företagsekonomiska Institutet 1888 AB,Data/IT,0,0,0,0,50,50,1,företagsekonomiska institutet 1888
Företagsekonomiska Institutet 1888 AB,Företagsekonomiska Institutet 1888 AB,"Ekonomi, administration och försäljning",0,0,0,80,0,0,6,företagsekonomiska institutet 1888
Företagsekonomiska Institutet 1888 AB,Företagsekonomiska Institutet 1888 AB,"Hotell, restaurang och turism",0,0,0,80,0,0,3,företagsekonomiska institutet 1888
Företagsekonomiska Institutet 1888 AB,Företagsekonomiska Institutet 1888 AB,Säkerhetstjänster,0,0,0,0,0,0,1,företagsekonomiska institutet 1888
Företagsuniversitetet AB,Företagsuniversitetet AB,Data/IT,0,30,120,255,290,70,7,företagsuniversitetet
Företagsuniversitetet AB,Företagsuniversitetet AB,"Ekonomi, administration och försäljning",0,35,100,170,210,60,7,företagsuniversitetet
Företagsuniversitetet AB,Företagsuniversitetet AB,Säkerhetstjänster,99,158,120,230,180,0,14,företagsuniversitetet
Gislaveds Kommun Vuxenutbildningen /Hph,Gislaveds Kommun Vuxenutbildningen /Hph,Hälso- och sjukvård samt socialt arbete,20,20,0,75,0,0,6,gislaveds vuxenutbildningen hph
Gislaveds Kommun Vuxenutbildningen /Hph,Gislaveds Kommun Vuxenutbildningen /Hph,Teknik och tillverkning,20,20,0,25,0,0,3,gislaveds vuxenutbildningen hph
Grit Academy AB,Grit Academy,Data/IT,0,0,0,0,0,0,1,grit
Grit Academy AB,Grit Academy AB,Data/IT,0,0,0,30,0,0,1,grit
Grit Academy AB,Grit Academy AB,"Ekonomi, administration och försäljning",0,0,0,90,0,0,3,grit
Gunnebo Slott och Trädgårdar AB,Gunnebo Slott och Trädgårdar AB,"Lantbruk, djurvård, trädgård, skog och fiske",25,0,25,25,25,50,6,gunnebo slott och trädgårdar
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Data/IT,0,0,0,0,0,0,1,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo","Ekonomi, administration och försäljning",0,28,28,28,28,0,5,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Hälso- och sjukvård samt socialt arbete,40,0,75,100,0,0,8,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Journalistik och information,0,0,30,60,0,0,2,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Juridik,0,0,0,0,0,0,2,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Pedagogik och undervisning,0,0,0,80,25,0,3,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Samhällsbyggnad och byggteknik,0,20,80,0,0,0,2,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Säkerhetstjänster,0,0,0,30,25,25,2,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Teknik och tillverkning,90,50,90,110,20,20,10,göteborgs
"Göteborgs stad, Yrgo","Göteborgs Stad, Yrgo",Transporttjänster,0,25,50,25,0,0,3,göteborgs
