Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
YH01239,IT-Högskolan Sverige AB,Agil testautomatiserare,Data/IT,15,20,0,0,0,0,0,0,0,0,0,0,0,0,60,Göteborg,,,1,0,0
YH01249,Lernia Utbildning AB,Agila arbetsmetoder &DevOps för utveklare,Data/IT,6,6,0,0,0,0,0,0,0,0,0,0,0,0,40,Malmö,,,1,0,0
YH01247,Changemaker Educations AB,Agile Project Leader,Data/IT,30,60,0,0,0,0,0,0,0,0,0,0,0,0,60,"Stockholm, Boden, Skellefteå, Karlstad",,,4,0,0
YH01242,Nackademin AB,Agilt ledarskap,Data/IT,30,30,0,0,0,0,0,0,0,0,0,0,0,0,20,Solna,,,1,0,0
YH01241,Campus Mölndal,Amazon AWS,Data/IT,25,50,0,0,0,0,0,0,0,0,0,0,0,0,60,Mölndal,,,1,0,0
YH01250,Lernia Utbildning AB,Azure administration för servtekniker,Data/IT,18,18,0,0,0,0,0,0,0,0,0,0,0,0,60,"Stockholm, Malmö",,,2,0,0
YH01251,Campus Mölndal,"Continuous Integration, Delivery och Deployment",Data/IT,25,50,0,0,0,0,0,0,0,0,0,0,0,0,30,Mölndal,,,1,0,0
YH01315,Göteborgs Tekniska College AB,Digitalisering inom industrin,Data/IT,20,80,0,0,0,0,0,0,0,0,0,0,0,0,15,Göteborg,,,1,0,0
YH01289,Sunne kommun/Broby Grafiska,Front-end,Data/IT,0,56,0,0,0,0,0,0,0,0,0,0,0,0,75,Sunne,,,1,0,0
YH01248,Changemaker Educations AB,Frontend Developer,Data/IT,30,60,0,0,0,0,0,0,0,0,0,0,0,0,50,"Stockholm, Boden",,,2,0,0
YH01246,Östsvenska Yrkeshögskolan AB,Internet of Things med Python och C++,Data/IT,30,30,0,0,0,0,0,0,0,0,0,0,0,0,75,Linköping,,,1,0,0
YH01235,Borås Stad - Borås Yrkeshögskola,IT-projektledare,Data/IT,20,20,0,0,0,0,0,0,0,0,0,0,0,0,80,Borås,,,1,0,0
YH01245,TUC Sweden AB - yrkeshögskola,IT-säkerhet,Data/IT,20,40,0,0,0,0,0,0,0,0,0,0,0,0,30,"Linköping, Jönköping, Tranås",,,3,0,0
YH01244,Stiftelsen Stockholms Tekniska Institut,Java Automation Developer,Data/IT,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,Stockholm,,,1,0,0
YH01252,Campus Mölndal,JavaScript fullstack,Data/IT,25,50,0,0,0,0,0,0,0,0,0,0,0,0,50,Mölndal,,,1,0,0
YH01253,Campus Mölndal,Microsoft Azure,Data/IT,25,50,0,0,0,0,0,0,0,0,0,0,0,0,50,Mölndal,,,1,0,0
YH01238,IT-Högskolan Stockholm AB,Molnutveckling med AWS och integrationer,Data/IT,30,30,0,0,0,0,0,0,0,0,0,0,0,0,30,Stockholm,,,1,0,0
