,Region,Antagna 2020,Antagna 2021,Antagna 2022,Antagna 2023,Antagna 2024,log_Antagna 2024
0, Stockholms län,1521.0,1790.0,2316.0,4295.0,5376.0,8.589885876809678
1, Västra Götalands län,1205.0,1208.0,1605.0,2630.0,3146.0,8.054204897064407
2, Skåne län,592.0,682.0,1008.0,1813.0,2189.0,7.691656822810547
3, Uppsala län,121.0,198.0,302.0,505.0,605.0,6.406879986069314
4, Östergötlands län,143.0,195.0,280.0,411.0,570.0,6.3473892096560105
5, Hallands län,117.0,156.0,225.0,392.0,519.0,6.253828811575473
6, Södermanlands län,124.0,155.0,198.0,290.0,419.0,6.040254711277414
7, Jönköpings län,106.0,132.0,187.0,343.0,418.0,6.037870919922137
8, Västmanlands län,104.0,136.0,203.0,321.0,399.0,5.991464547107982
9, Örebro län,73.0,95.0,143.0,287.0,375.0,5.929589143389895
10, Gävleborgs län,71.0,100.0,133.0,210.0,300.0,5.707110264748875
11, Dalarnas län,85.0,107.0,164.0,251.0,300.0,5.707110264748875
12, Värmlands län,52.0,114.0,132.0,210.0,292.0,5.680172609017068
13, Västernorrlands län,66.0,97.0,94.0,196.0,249.0,5.521460917862246
14, Kronobergs län,46.0,67.0,100.0,159.0,211.0,5.356586274672012
15, Västerbottens län,53.0,53.0,108.0,183.0,208.0,5.342334251964811
16, Kalmar län,122.0,117.0,78.0,181.0,204.0,5.3230099791384085
17, Blekinge län,41.0,56.0,76.0,145.0,199.0,5.298317366548036
18, Jämtlands län,33.0,40.0,54.0,111.0,192.0,5.262690188904886
19, Norrbottens län,37.0,64.0,96.0,161.0,190.0,5.25227342804663
20, Gotlands län,26.0,29.0,40.0,60.0,60.0,4.110873864173311
